Order_ID,Date,Region,Product,Category,Customer_ID,Quantity,Unit_Price
O001,2026-01-03,South,Laptop,Electronics,C001,1,55000
O002,2026-01-05,North,Headphones,Electronics,C002,2,2500
O003,2026-01-08,West,Shoes,Fashion,C003,1,3500
O004,2026-01-10,South,Smartphone,Electronics,C004,1,30000
O005,2026-01-12,East,Backpack,Fashion,C005,2,1800
O006,2026-01-15,South,Laptop,Electronics,C006,1,55000
O007,2026-01-18,North,Watch,Accessories,C007,1,4500
O008,2026-01-20,West,Headphones,Electronics,C008,3,2500
O009,2026-01-23,East,Shoes,Fashion,C009,2,3500
O010,2026-01-25,South,Smartphone,Electronics,C010,1,30000
O011,2026-02-02,North,Laptop,Electronics,C011,1,55000
O012,2026-02-04,South,Headphones,Electronics,C012,2,2500
O013,2026-02-07,East,Watch,Accessories,C013,2,4500
O014,2026-02-09,West,Backpack,Fashion,C014,1,1800
O015,2026-02-12,South,Shoes,Fashion,C015,2,3500
O016,2026-02-15,North,Smartphone,Electronics,C016,1,30000
O017,2026-02-18,South,Laptop,Electronics,C017,2,55000
O018,2026-02-20,East,Headphones,Electronics,C018,2,2500
O019,2026-02-23,West,Watch,Accessories,C019,1,4500
O020,2026-02-25,North,Shoes,Fashion,C020,1,3500
O021,2026-03-02,South,Smartphone,Electronics,C021,2,30000
O022,2026-03-05,East,Laptop,Electronics,C022,1,55000
O023,2026-03-08,North,Headphones,Electronics,C023,3,2500
O024,2026-03-10,West,Shoes,Fashion,C024,2,3500
O025,2026-03-13,South,Watch,Accessories,C025,2,4500
O026,2026-03-16,East,Backpack,Fashion,C026,2,1800
O027,2026-03-19,South,Laptop,Electronics,C027,1,55000
O028,2026-03-21,North,Smartphone,Electronics,C028,2,30000
O029,2026-03-24,West,Headphones,Electronics,C029,1,2500
O030,2026-03-27,South,Shoes,Fashion,C030,3,3500
